,Series
0,Government expenditure on education as % of GDP (%)
1,"Gross enrolment ratio, primary, female (%)"
2,"Gross enrolment ratio, primary, gender parity index (GPI)"
3,"Net enrolment rate, pre-primary, female (%)"
4,"Primary completion rate, both sexes (%)"
5,"Barro-Lee: Average years of total schooling, age 25+, total"
6,PISA: Mean performance on the mathematics scale
7,PISA: Mean performance on the reading scale
8,PISA: Mean performance on the science scale
9,"Barro-Lee: Average years of tertiary schooling, age 25+, total"
10,"Gross enrolment ratio, tertiary, both sexes (%)"
